file_path,song_key,lyrics,updated_at,updated_by
감사감사예수_예수내맘에_0506.jpg,,"감사 감사 예수 감사 감사 예수 감사 감사 예수 내 맘에

감사 감사 예수 감사 감사 예수 감사 감사 예수 내 맘에
 


은혜 충만 예수 은혜 충만 예수 은혜 충만 예수 내 맘에

은혜 충만 예수 은혜 충만 예수 은혜 충만 예수 내 맘에



말씀 충만 예수 말씀 충만 예수 말씀 충만 예수 내 맘에

말씀 충만 예수 말씀 충만 예수 말씀 충만 예수 내 맘에



성령 충만 예수 성령 충만 예수 성령 충만 예수 내 맘에

성령 충만 예수 성령 충만 예수 성령 충만 예수 내 맘에



능력 충만 예수 능력 충만 예수 능력 충만 예수 내 맘에

능력 충만 예수 능력 충만 예수 능력 충만 예수 내 맘에



믿음 충만 예수 믿음 충만 예수 믿음 충만 예수 내 맘에

믿음 충만 예수 믿음 충만 예수 믿음 충만 예수 내 맘에



소망 충만 예수 소망 충만 예수 소망 충만 예수 내 맘에

소망 충만 예수 소망 충만 예수 소망 충만 예수 내 맘에



사랑 충만 예수 사랑 충만 예수 사랑 충만 예수 내 맘에

사랑 충만 예수 사랑 충만 예수 사랑 충만 예수 내 맘에



축복 충만 예수 축복 충만 예수 축복 충만 예수 내 맘에

축복 충만 예수 축복 충만 예수 축복 충만 예수 내 맘에



영광 충만 예수 영광 충만 예수 영광 충만 예수 내 맘에

영광 충만 예수 영광 충만 예수 영광 충만 예수 내 맘에",2025-12-28 23:00:13,jbpar
가난한자가복음듣게_기쁨의탄성_1228.jpg,,"1 
가난한자가 복음듣게 될 때 포로된자 결박풀어질 때
눈먼자가 다시보게 될 때 눌린자가 자유케될 때
2
어둠속에서 빛을 보게 될 때 잃은양을 다시찾게 될때
절망중에 주를 보게 될 때 풍랑중에 주 함께 할때

(후렴)
기쁨의 탄성을 누가 막으리요 기쁨의 탄성을 누가 막으리요
기쁨의 탄성을 누가 막으리요 기쁨의 탄성을 누가 막으리요",2025-12-28 23:05:18,jbpar
축복 the blessing G 주 네게 복 주사.jpg,G,"주 네게 복 주사
주 너를 지키시고
은혜 베푸시네
그 얼굴 비추사
평안주네
아멘 아멘 아멘
아멘 아멘 아멘
주 네게 복 주사
주 너를 지키시고
은혜 베푸시네
그 얼굴 비추사
평안주네
아멘 아멘 아멘
아멘 아멘 아멘
아멘 아멘 아멘
아멘 아멘 아멘
주의 은혜 너의 위에
천 대까지 흘러가리
너의 가정 너의 자녀
그 자녀의 자녀까지
주의 임재 앞서가며
지키시고 동행하리
둘러싸고 채우시며
주가 너와 함께하리
아침에도 저녁에도
너의 모든 출입에도
슬플 때도 기쁠 때도
주님 너를 위하시네
위하시네 위하시네 위하시네 위하시네
위하시네 위하시네 위하시네 위하시네
아멘 아멘 아멘
아멘 아멘 아멘
May His favor be upon you
And a thousand generations
And your family and your children
And their children and their children
May His presence go before you
And behind you and beside you
All around you and within you
He is with you He is with you
In the morning in the evening
In your coming and your going
In your weeping and rejoicing
He is for you He is for you
He is for you He is for you
He is for you He is for you
He is for you He is for you
He is for you He is for you
아멘 아멘 아멘
아멘 아멘 아멘
아멘 아멘 아멘
아멘 아멘 아멘",2025-12-28 23:16:09,jbpar
거룩한주님께_11.gif,G,"거룩한 주님께 예배를 드리세.
무릎을 꿇어서 영광 돌려
금같은 복종과 향기론 겸손을
주님께 바쳐서 경배하세-.

주 앞에 삼가서 겸손히 행하면
주 너를 언제나 돌보시네.
말씀엔 위로와 기도엔 응답을
네 갈 길 바르게 인도하네-.

- ♪ ♬ ♪ -

주앞에 설 때에 두려워 말아라.
가난한 우리를 도우시네.
보배론 진리와 온유한 사랑은
주님께 다 바칠 귀한 예물-.

떨면서 바치는 이 작은 예물도
주님은 귀하게 받으시네.
어둔밤 지나고 새아침 맞으니
믿음과 소망을 늘 주시네-.
아 - 멘 - .",2025-12-28 23:22:44,jbpar
감사하신한나님(에벤에셀 하나님)A.jpg,A,"감사하신 하나님 에벤에셀 하나님
살아계신 하나님 에벤에셀 하나님
여기까지 인도하셨네 감사하신 하나님
여기까지 인도하셨네 살아계신 하나님
감사하신 하나님 에벤에셀 하나님
살아계신 하나님 에벤에셀 하나님",2025-12-28 23:32:04,jbpar
거리마다기쁨으로춤을추게하시고_C.jpg,C,"거리마다 기쁨으로

춤을 추게 하시고

주의 백성 기도할 때

이 땅 회복하소서

​

산 위에서 계곡까지

우리 찬양 울리네

하늘에서 열방까지

우리 노래 가득하네

​

십자가 앞에 행할 때

주의 빛 비추시고

물이 바다 덮음 같이

주 영광 채우소서

​

산 위에서 계곡까지

우리 찬양 울리네

하늘에서 열방까지

우리 노래 가득하네

​

할렐루야 할렐루야

할렐루야 할렐루야
[출처] 거리마다 기쁨으로(경배와 찬양 2000~2001 올네이션스 경배와 찬양 새노래) [C 코드] 5:40 / 가사 / 악보|작성자 리딤",2025-12-29 00:01:37,jbpar
감사로제사드리는.jpg,D,"감사로 제사 드리는 자가

감사로 제사 드리는 자가 

하나님을 영화롭게 하나니

그 행위를 옳게 하는 자에게

하나님의 구원 보이시리라

감사드려 감사드리세 아버지께

감사로 제사를 

찬송드리세 아버지께 은총 

감사로 제사를

우리의 찬송을 할레루야 할렐루야

우리의 찬송을 할렐루야 할렐루야

영원토록 찬송을 영원토록 감사를

영원토록 감사 찬송을 
[출처] 감사로 제사 드리는 자가 / 악보, ppt|작성자 미소천사",2025-12-29 09:46:32,jbpar
감사로제사드리는_감사로제사를_0082.jpg,,"감사로 제사 드리는 자가 하나님을 영화롭게 하나니
그 행위를 옳게 하는 자에게 하나님의 구원 보이시리라
감사드려 감사드리세 아버지께 감사로 제사를
찬송드리세 아버지께 우리의 찬송을
할렐루야 할렐루야 우리의 찬송을
할렐루야 할렐루야 영원토록 찬송을
영원토록 감사를 영원토록 감사 찬송을",2026-02-24 08:37:51,jbpar
감사로제사드리는자가_D.jpg,D,"감사로 제사 드리는 자가

감사로 제사 드리는 자가 

하나님을 영화롭게 하나니

그 행위를 옳게 하는 자에게

하나님의 구원 보이시리라

감사드려 감사드리세 아버지께

감사로 제사를 

찬송드리세 아버지께 은총 

감사로 제사를

우리의 찬송을 할레루야 할렐루야

우리의 찬송을 할렐루야 할렐루야

영원토록 찬송을 영원토록 감사를

영원토록 감사 찬송을 
[출처] 감사로 제사 드리는 자가 / 악보, ppt|작성자 미소천사",2025-12-29 09:46:47,jbpar
감사로제사드리는자가D.jpg,D,"감사로 제사 드리는 자가

감사로 제사 드리는 자가 

하나님을 영화롭게 하나니

그 행위를 옳게 하는 자에게

하나님의 구원 보이시리라

감사드려 감사드리세 아버지께

감사로 제사를 

찬송드리세 아버지께 은총 

감사로 제사를

우리의 찬송을 할레루야 할렐루야

우리의 찬송을 할렐루야 할렐루야

영원토록 찬송을 영원토록 감사를

영원토록 감사 찬송을 
[출처] 감사로 제사 드리는 자가 / 악보, ppt|작성자 미소천사",2025-12-29 09:46:52,jbpar
